,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,26.89,-33.59,802,Clouds,scattered clouds,03d,stations,285.93,1023,94,285.93,285.93,,1.34,285,43,1569906495,3,2011314,0.0063,ZA,1569901805,1569946457,7200,964432,Port Alfred,200,,,,2.24,,,,port alfred
1,-10.79,7.88,803,Clouds,broken clouds,04n,stations,296.2,1012.23,94,296.2,296.2,,0.62,203.491,84,1569906496,,,0.0059,SL,1569911473,1569954871,0,2408399,Jojoima,200,1012.23,987.78,,,,,,jojoima
1,8.48,35.86,800,Clear,clear sky,01n,stations,285.15,1018,66,285.15,285.15,10000,1,120,0,1569906496,1,1075,0.0067,TN,1569907234,1569949862,3600,2469252,Manzil Salim,200,,,,,,,,manzil salim
1,-135.06,60.72,500,Rain,light rain,10n,stations,280.42,1008,93,278.71,281.15,24140,6.7,170,90,1569906473,1,983,0.0103,CA,1569855816,1569897405,-25200,6180550,Whitehorse,200,,,,,,,,whitehorse
1,42.45,18.39,800,Clear,clear sky,01d,stations,292.67,1024,39,292.15,293.15,10000,1.73,260.483,0,1569906496,1,7396,0.0073,SA,1569898829,1569941966,10800,110690,Faya,200,,,,,,,,faya
1,38.73,8.96,802,Clouds,scattered clouds,03d,stations,286.15,1026,93,286.15,286.15,10000,1,50,40,1569906497,1,2453,0.0057,ET,1569899603,1569942977,10800,344979,Lebu,200,,,,,,,,lebu
1,-0.6,45.6,803,Clouds,broken clouds,04n,stations,287.7,1011,93,286.48,288.71,10000,2.1,300,75,1569906497,1,6452,0.0063,FR,1569909596,1569951858,7200,3026644,Souillac,200,,,,,,,,souillac
1,57.76,-20.34,521,Rain,shower rain,09d,stations,296.32,1020,83,296.15,296.48,10000,6.2,70,75,1569906497,1,2061,0.0062,MU,1569894643,1569938805,14400,1106677,Bambous Virieux,200,,,,,,,,bambous virieux
1,138.6,-33.21,800,Clear,clear sky,01d,stations,300.3,1020.92,25,300.3,300.3,,4.18,24.994,0,1569906498,,,0.0056,AU,1569875028,1569919626,34200,2069194,Jamestown,200,1020.92,984.89,,,,,,jamestown
1,57.43,38.44,800,Clear,clear sky,01d,stations,290.5,1016.75,33,290.5,290.5,,3.3,88.713,6,1569906498,,,0.0061,TM,1569895523,1569938083,18000,162158,Baherden,200,1016.75,906.42,,,,,,baherden
1,-58.16,6.8,500,Rain,light rain,10n,stations,298.6,1008.55,92,298.6,298.6,,2.41,50.547,24,1569906473,,,0.0078,GY,1569922827,1569966249,-14400,3378644,Georgetown,200,1008.55,1006.65,,,,0.876,,georgetown
1,27.91,-33.02,800,Clear,clear sky,01d,stations,287.15,1023,71,287.15,287.15,10000,5.7,280,0,1569906217,1,1912,0.0062,ZA,1569901573,1569946200,7200,1006984,East London,200,,,,,,,,east london
1,-133.03,69.44,802,Clouds,scattered clouds,03n,stations,279.15,1002,87,279.15,279.15,24140,6.7,270,40,1569906499,1,942,0.007,CA,1569855769,1569896478,-21600,6170031,Tuktoyaktuk,200,,,,9.3,,,,tuktoyaktuk
